رقم السجل,اسم النشاط,الفئة الرئيسية,التصنيف الفرعي,نوع النشاط الأصلي,التصنيف الأصلي,المدينة,المدينة / القرية,العنوان,الهاتف,واتساب,فيسبوك,إنستغرام,الموقع الإلكتروني,مواعيد العمل,تقييم جوجل,عدد مراجعات جوجل,نطاق الأسعار,معرّف المكان في جوجل,رابط خرائط جوجل,الوصف,معلومات الأسعار,الصور,نشاط إلكتروني فقط,موثّق,المصدر,نوع المصدر,تاريخ الجمع,خط العرض,خط الطول
1,مشويات الملك فاروق,🍔 المطاعم والكافيهات,مطاعم وكافيهات وحلويات,,Barbecue restaurant,Banha,,"كورنيش النيل, Qism Banha, Banha 2, Al-Qalyubia Governorate 6470140, Egypt",201000040388.0,,,,,,4.1,1981.0,"E£200–1,200",ChIJWRxD3kjf9xQRYfzqEY3LvOU,https://www.جوجل.com/maps/search/?api=1&query=%D9%85%D8%B4%D9%88%D9%8A%D8%A7%D8%AA%20%D8%A7%D9%84%D9%85%D9%84%D9%83%20%D9%81%D8%A7%D8%B1%D9%88%D9%82%20%D9%83%D9%88%D8%B1%D9%86%D9%8A%D8%B4%20%D8%A7%D9%84%D9%86%D9%8A%D9%84%2C%20Qism%20Banha%2C%20Banha%202%2C%20Al-Qalyubia%20Governorate%206470140%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
3,مياس للمأكولات البحرية,🍔 المطاعم والكافيهات,مطاعم وكافيهات وحلويات,,Seafood restaurant,Banha,,"F5GJ+W32, شارع 10 خلف استراحة المحافظ, Street 10, Qism Banha, Banha 2, Al-Qalyubia Governorate, Egypt",201027011150.0,,,,,,4.2,1699.0,,ChIJxTMUj1rf9xQR864m_Wq2rC8,https://www.جوجل.com/maps/search/?api=1&query=%D9%85%D9%8A%D8%A7%D8%B3%20%D9%84%D9%84%D9%85%D8%A3%D9%83%D9%88%D9%84%D8%A7%D8%AA%20%D8%A7%D9%84%D8%A8%D8%AD%D8%B1%D9%8A%D8%A9%20F5GJ%2BW32%2C%20%D8%B4%D8%A7%D8%B1%D8%B9%2010%20%D8%AE%D9%84%D9%81%20%D8%A7%D8%B3%D8%AA%D8%B1%D8%A7%D8%AD%D8%A9%20%D8%A7%D9%84%D9%85%D8%AD%D8%A7%D9%81%D8%B8%2C%20Street%2010%2C%20Qism%20Banha%2C%20Banha%202%2C%20Al-Qalyubia%20Governorate%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
4,HR مطعم,🍔 المطاعم والكافيهات,مطاعم وكافيهات وحلويات,مطعم,مطاعم,Banha,,"Qism Banha, Banha, Al-Qalyubia Governorate 6470125, Egypt",201017170000.0,,,,,,4.4,917.0,E£400–600,ChIJj6fVVmff9xQR56OT_4DGY9o,https://www.جوجل.com/maps/search/?api=1&query=HR%20مطعم%20Qism%20Banha%2C%20Banha%2C%20Al-Qalyubia%20Governorate%206470125%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
5,muslem cafa,🍔 المطاعم والكافيهات,مطاعم وكافيهات وحلويات,,كافيه,Banha,,"Al Nassag, Qism Banha, Banha 2, Al-Qalyubia Governorate 6470014, Egypt",201112634694.0,,,,,,4.4,376.0,,ChIJmXQTP5rf9xQR7kqDCyjekg8,https://www.جوجل.com/maps/search/?api=1&query=muslem%20cafa%20Al%20Nassag%2C%20Qism%20Banha%2C%20Banha%202%2C%20Al-Qalyubia%20Governorate%206470014%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
6,Elixiry Oasis,🍔 المطاعم والكافيهات,مطاعم وكافيهات وحلويات,,Barbecue restaurant,Banha,,"F58J+M5M, Al Hezb Al Watani, Qism Banha, Banha 2, Al-Qalyubia Governorate 6470010, Egypt",20133246644.0,,,,,,4.2,308.0,E£1–400,ChIJL_b8Glff9xQRc57RqDfSVt8,https://www.جوجل.com/maps/search/?api=1&query=Elixiry%20Oasis%20F58J%2BM5M%2C%20Al%20Hezb%20Al%20Watani%2C%20Qism%20Banha%2C%20Banha%202%2C%20Al-Qalyubia%20Governorate%206470010%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
8,bellissimo كافيه,🍔 المطاعم والكافيهات,مطاعم وكافيهات وحلويات,,كافيه,Banha,,"F5HH+3X2, Street 9, Qism Banha, Banha 2, Al-Qalyubia Governorate 6470124, Egypt",201211470279.0,,,,,,4.4,206.0,,ChIJeX78gpff9xQRK2cUTq7hLWw,https://www.جوجل.com/maps/search/?api=1&query=bellissimo%20كافيه%20F5HH%2B3X2%2C%20Street%209%2C%20Qism%20Banha%2C%20Banha%202%2C%20Al-Qalyubia%20Governorate%206470124%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
9,La Poire,🍔 المطاعم والكافيهات,مطاعم وكافيهات وحلويات,Bakery,مخابز وحلويات,Banha,,"F5CM+9F, 15 El-Shaheed Farid Nada, St, Banha, Al-Qalyubia Governorate 6470153, Egypt",20223229012.0,,,,,,4.2,183.0,,ChIJA9SN8Vrf9xQRHHCne4vE_fI,https://www.جوجل.com/maps/search/?api=1&query=La%20Poire%20F5CM%2B9F%2C%2015%20El-Shaheed%20Farid%20Nada%2C%20St%2C%20Banha%2C%20Al-Qalyubia%20Governorate%206470153%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
10,Moon café & Dessert,🍔 المطاعم والكافيهات,مطاعم وكافيهات وحلويات,كافيه وحلويات,كافيه وحلويات,Banha,,الفلل شارع 6 أمام مطعم كلاش برجر,,,,,,,4.5,121.0,,,,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
11,مون كافيه وحلويات,🍔 المطاعم والكافيهات,مطاعم وكافيهات وحلويات,,,بنها,,الفلل، شارع 6 أمام مطعم كلاش برجر,,,,,,,4.5,121.0,,ChIJzR_bTDrf9xQRrU6iP4yv3Uk,,,,,,لا,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
12,Grinder كافيه & مطعم,🍔 المطاعم والكافيهات,مطاعم وكافيهات وحلويات,مطعم,مطعم,Banha,,الفِلَل، شارع 4 خلف مسلم كافيه,20133232931.0,,,,,,4.5,119.0,E£200–400,,,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
